sa2_code,sa2_name,centroid_lat,centroid_lon
114021288,Robertson - Fitzroy Falls,-34.61401594955448,150.50282113947267
114021289,Southern Highlands,-34.46523820340382,150.2491300606121
115011290,Baulkham Hills - East,-33.75998620864216,150.98803813725448
115011291,Baulkham Hills (West) - Bella Vista,-33.74249846809774,150.96462161819977
115011294,Glenhaven,-33.702110956005484,150.99884480680848
115011296,West Pennant Hills,-33.749990652681895,151.03029579327426
115011553,Castle Hill - Central,-33.73358740995904,150.9878848140136
115011554,Castle Hill - East,-33.72242900516079,151.02419057926224
115011555,Castle Hill - North,-33.71997017159917,150.99947890267381
115011556,Castle Hill - South,-33.741633788966475,151.0096529624438
115011557,Castle Hill - West,-33.718874759147326,150.9748755674119
115011558,Cherrybrook,-33.72196326254802,151.0461347505082
115011621,Kellyville - East,-33.7063463482282,150.96587620186725
115011622,Kellyville - West,-33.71856431471933,150.9475652436761
115021297,Dural - Kenthurst - Wisemans Ferry,-33.54642678707699,150.98229024878847
115021298,Galston - Laughtondale,-33.549424113577224,151.07860133608494
115031299,Bilpin - Colo - St Albans,-33.27068718369036,150.78308134335012
115031300,Kurrajong Heights - Ebenezer,-33.52720003462391,150.74864992232935
115041301,Pitt Town - McGraths Hill,-33.60226245119596,150.87999760595096
115041623,Box Hill - Nelson,-33.64439146080761,150.9065532426303
115041624,North Kellyville,-33.682964598219414,150.9485022744858
115041625,Rouse Hill - Beaumont Hills,-33.684520104026646,150.9301691128146
116011303,Blacktown (East) - Kings Park,-33.756847530866466,150.9115495721048
116011304,Blacktown (North) - Marayong,-33.7485988763511,150.88931114536425
116011306,Doonside - Woodcroft,-33.764923014326136,150.87195467231336
116011307,Lalor Park - Kings Langley,-33.7617669870946,150.93906425465568
116011560,Blacktown - South,-33.78700254813083,150.90815695900875
116011561,Blacktown - West,-33.77797421134676,150.89204494180504
116011626,Seven Hills - Prospect,-33.79256664746592,150.9208237845934
116011627,Toongabbie - West,-33.79271308601845,150.93759182341657
116021309,Glenwood,-33.735692910271304,150.93488101543173
116021562,Acacia Gardens,-33.73337076021482,150.91389756302465
116021563,Quakers Hill,-33.72413460178187,150.89079256190206
116021628,Kellyville Ridge - The Ponds,-33.70502671346519,150.91368596766765
116021629,Marsden Park - Shanes Park,-33.705137094860675,150.80746243318805
116021630,Riverstone,-33.67446492447074,150.85350670197403
116021631,Schofields (West) - Colebee,-33.71268623805724,150.8607658872121
116021632,Schofields - East,-33.69376833188815,150.89356452141865
116021633,Stanhope Gardens - Parklea,-33.71840812548856,150.9239751040671
116031313,Bidwill - Hebersham - Emerton,-33.740718024130096,150.81813198322052
116031314,Glendenning - Dean Park,-33.74412650906788,150.8558006670439
116031315,Hassall Grove - Plumpton,-33.7435208825219,150.83760389641296
116031316,Lethbridge Park - Tregear,-33.731863499456075,150.78822506297684
116031317,Mount Druitt - Whalan,-33.76497357616443,150.81285401548075
116031318,Prospect Reservoir,-33.808661899406424,150.8630349998565
116031319,Rooty Hill - Minchinbury,-33.7800972221696,150.84320317857095
117011320,Banksmeadow,-33.957236323535,151.2134881838855
117011321,Botany,-33.94909041422319,151.2006208492131
117011323,Pagewood - Hillsdale - Daceyville,-33.94082784921064,151.22292730099636
