sa2_code,dist_nearest_competitor_km,competitors_within_5km,competitors_within_10km
127011592,5.852615416295624,0,2
127011593,4.266670740135769,1,4
127011594,4.913716163752284,1,5
127011595,3.906529388374294,1,4
127011596,3.752999514121008,1,3
127011597,2.15522343477164,1,3
127011726,8.190961196142593,0,2
127011727,0.7832409040096219,1,4
127011728,4.623224277804936,1,3
127011729,4.866220276196892,1,2
127021509,5.083851784478513,0,5
127021510,6.1893620485458305,0,7
127021511,1.5909047362132949,2,4
127021512,2.8741103236488024,1,4
127021513,2.827397491683443,3,4
127021514,6.2959011831802485,0,5
127021515,3.026524896136624,2,5
127021516,2.8483006770380737,2,5
127021517,4.156390794369689,1,6
127021518,4.590075022374819,1,3
127021519,1.3643116352404019,1,5
127021520,4.771820982989656,1,5
127021521,3.1758983407606887,1,6
127031522,4.085959969591941,1,3
127031523,2.774789875963952,2,5
127031524,7.998878982153459,0,1
127031599,2.942808853253983,1,3
127031601,1.548450854711027,2,4
127031730,6.351819680519863,0,4
127031731,0.39882508224264984,2,4
127031732,1.1327861151015703,1,4
127031733,5.27058233661749,0,3
128011529,2.2620603425225254,2,3
128011530,2.3903541515998956,2,3
128011531,1.925934703214923,2,3
128011602,1.3751526569851928,1,2
128011603,3.3599223631414326,1,2
128011604,5.594448270199345,0,1
128011605,4.767461731980548,1,2
128011606,3.3450131848026916,1,2
128021533,11.443268435227205,0,0
128021534,3.8939253494257318,1,4
128021535,6.116267038796581,0,2
128021536,2.4470676222351426,1,4
128021537,8.820877783401658,0,1
128021538,0.2380272623106512,1,3
128021607,5.485639460200857,0,1
128021608,3.20925548670274,1,3
128021609,3.5030967428345203,1,3
201011001,6.517309658878251,0,4
201011002,1.3723337923122587,4,4
201011005,7.3132785041377355,0,2
201011006,4.742402501855148,1,4
201011007,9.32162355113289,0,2
201011008,4.366495262390986,1,3
201011481,5.987752081425863,0,4
201011482,5.706489979274616,0,4
201011483,2.894807913693257,2,4
201011484,1.2008942292074718,2,4
201021009,7.697840231338116,0,1
201021010,9.285725314700372,0,1
201021011,4.519171380478353,1,1
201021012,17.318159551542124,0,0
201031013,33.18037004347622,0,0
201031014,7.233904492331197,0,1
201031015,28.41653779616713,0,0
201031016,0.7413908201149564,1,1
201031017,7.3800144529839775,0,1
202011018,3.3141504012082352,2,3
202011019,7.387509407093193,0,2
202011020,1.8439770193837128,1,3
202011021,3.2770424368304125,3,3
202011022,1.2295236115836683,2,3
202011023,4.88709899422853,1,3
202011024,5.787498189903324,0,3
202011025,9.978954231407373,0,1
202021026,5.2322627028448325,0,2
202021027,26.399893172289957,0,0
202021028,28.335943417257162,0,0
202021029,8.77687126032118,0,1
202021030,5.355512584985512,0,1
202021031,13.453632409395285,0,0
202031032,23.25091913188863,0,0
202031033,23.69160538151488,0,0
203011034,13.464676055265704,0,0
203011035,13.71093381262208,0,0
203011036,23.59491486187521,0,0
203021037,0.7462267565681389,3,4
203021039,1.3549645906449588,2,4
203021040,3.74622337059755,1,4
203021042,4.627101246459698,1,4
203021043,18.026166396515,0,0
203021044,5.3847415235807405,0,2
203021045,5.860641870412368,0,4
203021046,1.9835949018944214,2,4
203021047,1.401372966695075,1,3
203021485,2.6068851351339988,1,3
203021486,6.348585217973701,0,1
203021487,3.589876014203036,1,3
203021488,2.5994541752303935,1,3
203031048,7.718040949518245,0,1
203031049,11.417823556093245,0,0
203031051,15.336765199058062,0,0
203031052,8.905534486929971,0,2
203031053,3.7380232064156482,1,1
203031489,9.097364095755644,0,3
203031490,1.9853366663379144,2,2
204011054,48.895167003002044,0,0
204011055,3.381197997989854,1,1
204011056,5.9667535574251644,0,1
204011057,74.5094279800159,0,0
204011058,37.590104810765986,0,0
204011059,36.06676377765857,0,0
204011060,26.11177713744365,0,0
204011061,26.830548284371528,0,0
204011062,42.53769334609918,0,0
204021063,3.3340585869443466,1,1
204021064,4.53597315584419,1,1
204021065,3.5400690587882617,1,1
204021066,33.65713980175356,0,0
204021067,26.472228041645085,0,0
204031068,3.313908985466915,1,1
204031069,23.157682925961527,0,0
204031070,19.947409137844602,0,0
204031071,7.8079205133685425,0,1
204031072,40.112744598682994,0,0
204031073,8.51364701985461,0,1
204031075,21.020915316161464,0,0
204031491,6.163885508696465,0,2
204031492,1.2482772911717577,2,3
205011076,4.433849362019825,1,1
205011077,24.717824970897176,0,0
205011078,2.580844077784789,1,1
205011079,11.340590336060382,0,0
205021080,40.9411632611104,0,0
205021081,56.62512426929545,0,0
205021082,24.39106622561379,0,0
205021083,64.06949029914378,0,0
205021084,48.8487396841723,0,0
205021085,40.08089341333038,0,0
205021086,45.826972445962284,0,0
205031087,20.701276542167722,0,0
205031088,15.913001746967964,0,0
205031089,18.049727103993987,0,0
205031090,9.231352247708765,0,1
205031091,3.9110360779000963,1,1
205031092,51.923130038941565,0,0
205031093,10.21244420397862,0,0
205041094,21.40853338001117,0,0
205041095,3.746922144306766,2,2
205041096,11.263510841437528,0,0
205041098,13.068039425804015,0,0
205041493,6.154360839077444,0,1
205041494,3.7075250183463715,1,1
205051099,59.67032984669074,0,0
205051100,16.739142894284925,0,0
205051101,17.105422697403707,0,0
205051102,19.349951825504174,0,0
205051103,1.1399585973589286,1,1
205051104,9.806422268130198,0,1
206011106,2.414500254248493,3,9
206011107,2.6015410603806086,2,10
206011109,4.15539126123703,2,8
206011495,3.5197118458280148,3,10
