store_name,latitude,longitude,sa2_code,sa2_name,sa3_name,sa4_name,state
Taree,-31.8914868,152.4461265,108051169,Taree,Taree - Gloucester,Mid North Coast,New South Wales
Thornleigh,-33.7290761,151.0828967,121021406,Normanhurst - Thornleigh - Westleigh,Hornsby,Sydney - North Sydney and Hornsby,New South Wales
Tuggerah,-33.311177,151.4213037,102021055,Tuggerah - Kangy Angy,Wyong,Central Coast,New South Wales
Tweed Heads,-28.2045578,153.5374649,112031552,Tweed Heads South,Tweed Valley,Richmond - Tweed,New South Wales
Ulladulla,-35.3632865,150.4695943,114011282,Ulladulla,Shoalhaven,Southern Highlands and Shoalhaven,New South Wales
Umina Beach,-33.5218641,151.3198597,102011040,Umina - Booker Bay - Patonga,Gosford,Central Coast,New South Wales
Valley Heights,-33.7016713,150.5810064,124011454,Springwood - Winmalee,Blue Mountains,Sydney - Outer West and Blue Mountains,New South Wales
Villawood,-33.87815,150.9789091,125031480,Fairfield - East,Merrylands - Guildford,Sydney - Parramatta,New South Wales
Wagga Wagga,-35.1207966,147.3423688,113031270,Wagga Wagga - West,Wagga Wagga,Riverina,New South Wales
Wallsend,-32.8974722,151.6739573,111031233,Wallsend - Elermore Vale,Newcastle,Newcastle and Lake Macquarie,New South Wales
West Gosford,-33.4292753,151.3193063,102011032,Gosford - Springfield,Gosford,Central Coast,New South Wales
Young,-34.3118,148.2881,101061543,Young,Young - Yass,Capital Region,New South Wales
Alice Springs,-23.6701,133.8686,702011045,Charles,Alice Springs,Northern Territory - Outback,Northern Territory
Darwin,-12.4013011,130.8573935,701011001,Darwin Airport,Darwin City,Darwin,Northern Territory
Palmerston,-12.4703747,130.991873,701041041,Palmerston - North,Palmerston,Darwin,Northern Territory
Acacia Ridge,-27.5965814,153.0353091,303051076,Rocklea - Acacia Ridge,Rocklea - Acacia Ridge,Brisbane - South,Queensland
Airlie Beach,-20.276,148.694,312031359,Airlie - Whitsundays,Whitsunday,Mackay - Isaac - Whitsunday,Queensland
Arundel,-27.9335408,153.3787829,309031235,Arundel,Gold Coast - North,Gold Coast,Queensland
Atherton,-17.2657,145.4801,306051166,Atherton,Tablelands (East) - Kuranda,Cairns,Queensland
Bethania,-27.7035211,153.1568606,311051323,Bethania - Waterford,Loganlea - Carbrook,Logan - Beaudesert,Queensland
Brendale,-27.3157676,152.9652192,314031394,Strathpine - Brendale,Strathpine,Moreton Bay - South,Queensland
Browns Plains,-27.6623484,153.0444846,311031312,Browns Plains,Browns Plains,Logan - Beaudesert,Queensland
Bundaberg,-24.8899186,152.3247662,319011494,Branyan - Kensington,Bundaberg,Wide Bay,Queensland
Bundamba,-27.6096267,152.8050845,310031284,Bundamba,Ipswich Inner,Ipswich,Queensland
Burleigh Waters,-28.0999344,153.4269981,309011226,Burleigh Waters,Broadbeach - Burleigh,Gold Coast,Queensland
Caboolture,-27.0437637,152.9759779,313021572,Caboolture - East,Caboolture,Moreton Bay - North,Queensland
Cairns,-16.9342379,145.7735946,306021154,Westcourt - Bungalow,Cairns - South,Cairns,Queensland
Caloundra,-26.7962082,153.10496,316021580,Caloundra West - Baringa,Caloundra,Sunshine Coast,Queensland
Cannon Hill,-27.4733202,153.0972226,303011048,Cannon Hill,Carindale,Brisbane - South,Queensland
Capalaba,-27.5221767,153.1887323,301011004,Capalaba,Capalaba,Brisbane - East,Queensland
Carseldine,-27.3337,153.0101,302011022,Bald Hills,Bald Hills - Everton Park,Brisbane - North,Queensland
Dalby,-27.1978852,151.2757342,307021183,Wambo,Darling Downs - East,Darling Downs - Maranoa,Queensland
Fairfield Waters,-19.3162,146.8208,318021487,Oonoonba,Townsville,Townsville,Queensland
Gladstone,-23.8774216,151.2254046,308051533,Clinton - New Auckland,Gladstone,Central Queensland,Queensland
Gympie,-26.2233,152.69131,319031512,Gympie - North,Gympie - Cooloola,Wide Bay,Queensland
Hervey Bay,-25.29047,152.8396553,319041518,Pialba - Eli Waters,Hervey Bay,Wide Bay,Queensland
Indooroopilly,-27.5009457,152.9761358,304031094,Indooroopilly,Sherwood - Indooroopilly,Brisbane - West,Queensland
Innisfail,-17.5248,146.0275,306031159,Innisfail,Innisfail - Cassowary Coast,Cairns,Queensland
Kawana,-23.3397605,150.5091632,308031215,Parkhurst - Kawana,Rockhampton,Central Queensland,Queensland
Keperra,-27.419585,152.9493933,304041100,Keperra,The Gap - Enoggera,Brisbane - West,Queensland
Kingaroy,-26.5583945,151.8401563,319021505,Kingaroy,Burnett,Wide Bay,Queensland
Lawnton,-27.2879639,152.9853672,314031392,Lawnton,Strathpine,Moreton Bay - South,Queensland
Loganholme,-27.6882,153.1895,311051325,Loganholme - Tanah Merah,Loganlea - Carbrook,Logan - Beaudesert,Queensland
Mackay North,-21.0963,149.1558,312021348,Mount Pleasant - Glenella,Mackay,Mackay - Isaac - Whitsunday,Queensland
Manly West,-27.4686371,153.1530954,301031016,Manly West,Wynnum - Manly,Brisbane - East,Queensland
Maroochydore,-26.6648237,153.0845156,316031427,Maroochydore - Kuluin,Maroochy,Sunshine Coast,Queensland
