store_name,latitude,longitude,sa2_code,sa2_name,sa3_name,sa4_name,state
Rosebud,-38.3860085,144.8871931,214021384,Rosebud - McCrae,Mornington Peninsula,Mornington Peninsula,Victoria
Sale,-38.1058196,147.0632559,205051103,Sale,Wellington,Latrobe - Gippsland,Victoria
Scoresby,-37.8999,145.2285,211011254,Knoxfield - Scoresby,Knox,Melbourne - Outer East,Victoria
Seymour,-37.0270292,145.1418796,204011059,Seymour,Upper Goulburn Valley,Hume,Victoria
Shepparton,-36.3880115,145.4217509,216031594,Shepparton - South East,Shepparton,Shepparton,Victoria
Springvale,-37.932314,145.1532676,212041317,Springvale,Dandenong,Melbourne - South East,Victoria
Sunbury,-37.5904566,144.7161067,210041540,Sunbury - South,Sunbury,Melbourne - North West,Victoria
Sunshine,-37.7758522,144.8302214,213011337,Sunshine North,Brimbank,Melbourne - West,Victoria
Swan Hill,-35.3342847,143.5560109,215031404,Swan Hill,Murray River - Swan Hill,North West,Victoria
Tarneit,-37.8334325,144.6981199,213051584,Tarneit - North,Wyndham,Melbourne - West,Victoria
Taylors Lakes,-37.6957834,144.7798316,213011340,Taylors Lakes,Brimbank,Melbourne - West,Victoria
Thomastown,-37.693157,145.0229006,209041223,Thomastown,Whittlesea - Wallan,Melbourne - North East,Victoria
Torquay,-38.3082981,144.318312,203031053,Torquay,Surf Coast - Bellarine Peninsula,Geelong,Victoria
Traralgon,-38.191556,146.5606911,205041493,Traralgon - East,Latrobe Valley,Latrobe - Gippsland,Victoria
Vermont South,-37.8602784,145.1968373,211041273,Vermont South,Whitehorse - East,Melbourne - Outer East,Victoria
Wangaratta,-36.3659097,146.3011322,204021066,Wangaratta,Wangaratta - Benalla,Hume,Victoria
Warragul,-38.1667,145.9547689,205011079,Warragul,Baw Baw,Latrobe - Gippsland,Victoria
Warrnambool,-38.3834379,142.5321131,217041480,Warrnambool - South,Warrnambool,Warrnambool and South West,Victoria
Waurn Ponds,-38.2035404,144.3064271,203021487,Grovedale - Mount Duneed,Geelong,Geelong,Victoria
West Footscray,-37.8028912,144.8831814,213031351,West Footscray - Tottenham,Maribyrnong,Melbourne - West,Victoria
Wodonga,-36.1371567,146.9065051,204031492,Wodonga,Wodonga - Alpine,Hume,Victoria
Wonthaggi,-38.5956652,145.5930871,205031093,Wonthaggi - Inverloch,Gippsland - South West,Latrobe - Gippsland,Victoria
Yarrawonga,-36.0122205,146.0261529,216021414,Yarrawonga,Moira,Shepparton,Victoria
Albany,-34.9893529,117.8775963,509011225,Albany,Albany,Western Australia - Wheat Belt,Western Australia
Armadale,-32.1260053,115.86827,507011260,Jandakot,Cockburn,Perth - South West,Western Australia
Australind,-33.2807916,115.7447732,501021005,Australind - Leschenault,Bunbury,Bunbury,Western Australia
Balcatta,-31.8602455,115.8128589,505021084,Balcatta - Hamersley,Stirling,Perth - North West,Western Australia
Baldivis,-32.3310747,115.8191088,507051312,Baldivis - North,Rockingham,Perth - South West,Western Australia
Bayswater,-31.9031909,115.921666,504011045,Bayswater - Embleton - Bedford,Bayswater - Bassendean,Perth - North East,Western Australia
Belmont,-31.9570405,115.9313871,506021118,Belmont - Ascot - Redcliffe,Belmont - Victoria Park,Perth - South East,Western Australia
Bibra Lake,-32.1026854,115.7998612,507011150,Bibra Industrial,Cockburn,Perth - South West,Western Australia
Broome,-17.9640237,122.2228775,510011262,Broome,Kimberley,Western Australia - Outback (North),Western Australia
Bunbury,-33.3336883,115.6459841,501021253,South Bunbury - Bunbury,Bunbury,Bunbury,Western Australia
Busselton,-33.6669,115.3505,501011293,Busselton - East,Augusta - Margaret River - Busselton,Bunbury,Western Australia
Cannington,-32.0224188,115.9410498,506031127,Cannington - Queens Park,Canning,Perth - South East,Western Australia
Claremont,-31.9824441,115.7824093,503011031,Claremont (WA),Cottesloe - Claremont,Perth - Inner,Western Australia
Cockburn Central,-32.1246,115.8673,507011260,Jandakot,Cockburn,Perth - South West,Western Australia
East Victoria Park,-31.9922278,115.911263,506021119,East Victoria Park - Carlisle,Belmont - Victoria Park,Perth - South East,Western Australia
Ellenbrook,-31.7770037,115.9625155,504031300,Ellenbrook,Swan,Perth - North East,Western Australia
Esperance,-33.8385856,121.90077,511011274,Esperance,Esperance,Western Australia - Outback (South),Western Australia
Geraldton,-28.7602309,114.6234825,511041285,Geraldton,Mid West,Western Australia - Outback (South),Western Australia
Halls Head,-32.5478916,115.7041898,502011024,Halls Head - Erskine,Mandurah,Mandurah,Western Australia
Harrisdale,-32.1069179,115.9363609,506011307,Harrisdale,Armadale,Perth - South East,Western Australia
Homebase Subiaco,-31.9427,115.8217,503021042,Subiaco - Shenton Park,Perth City,Perth - Inner,Western Australia
Innaloo,-31.9008711,115.7968002,505021088,Innaloo - Doubleview,Stirling,Perth - North West,Western Australia
Joondalup,-31.7592436,115.7721136,505011077,Joondalup - Edgewater,Joondalup,Perth - North West,Western Australia
Kalamunda,-31.9711329,116.0577317,506051140,Kalamunda - Maida Vale - Gooseberry Hill,Kalamunda,Perth - South East,Western Australia
Kalgoorlie,-30.7521573,121.4812773,511031279,Kalgoorlie,Goldfields,Western Australia - Outback (South),Western Australia
Maddington,-32.0464503,115.97708,506041136,Maddington - Orange Grove - Martin,Gosnells,Perth - South East,Western Australia
Mandurah,-32.5478916,115.7041898,502011024,Halls Head - Erskine,Mandurah,Mandurah,Western Australia
Margaret River,-33.9614304,115.0719892,501011004,Margaret River,Augusta - Margaret River - Busselton,Bunbury,Western Australia
Melville,-32.0401,115.8239,507041178,Booragoon,Melville,Perth - South West,Western Australia
Midland,-31.8990984,116.0128145,504031066,Midland - Guildford,Swan,Perth - North East,Western Australia
Mindarie,-31.6928,115.7169,505031101,Clarkson,Wanneroo,Perth - North West,Western Australia
Mirrabooka,-31.8625805,115.8769573,505021085,Balga - Mirrabooka,Stirling,Perth - North West,Western Australia
Northam,-31.6601,116.6698,509021243,Northam,Wheat Belt - North,Western Australia - Wheat Belt,Western Australia
O'Connor,-32.0633261,115.7970796,507021167,O'Connor (WA),Fremantle,Perth - South West,Western Australia
Osborne Park,-31.9015,115.8146,505021091,Osborne Park Industrial,Stirling,Perth - North West,Western Australia
Rockingham,-32.2683135,115.7532698,507051188,Rockingham,Rockingham,Perth - South West,Western Australia
Wangara,-31.8034,115.8366,505031305,Madeley - Darch,Wanneroo,Perth - North West,Western Australia
Willetton,-32.0394123,115.8794126,506031131,Willetton,Canning,Perth - South East,Western Australia
