store_name,latitude,longitude
Smithfield,-33.8460879,150.9547776
Tamworth,-31.0885229,150.9079129
Taree,-31.8914868,152.4461265
Thornleigh,-33.7290761,151.0828967
Tuggerah,-33.311177,151.4213037
Tweed Heads,-28.2045578,153.5374649
Ulladulla,-35.3632865,150.4695943
Umina Beach,-33.5218641,151.3198597
Valley Heights,-33.7016713,150.5810064
Villawood,-33.87815,150.9789091
Wagga Wagga,-35.1207966,147.3423688
Wallsend,-32.8974722,151.6739573
West Gosford,-33.4292753,151.3193063
Young,-34.3118,148.2881
Alice Springs,-23.6701,133.8686
Darwin,-12.4013011,130.8573935
Palmerston,-12.4703747,130.991873
Acacia Ridge,-27.5965814,153.0353091
Airlie Beach,-20.276,148.694
Arundel,-27.9335408,153.3787829
Atherton,-17.2657,145.4801
Bethania,-27.7035211,153.1568606
Brendale,-27.3157676,152.9652192
Browns Plains,-27.6623484,153.0444846
Bundaberg,-24.8899186,152.3247662
Bundamba,-27.6096267,152.8050845
Burleigh Waters,-28.0999344,153.4269981
Caboolture,-27.0437637,152.9759779
Cairns,-16.9342379,145.7735946
Caloundra,-26.7962082,153.10496
Cannon Hill,-27.4733202,153.0972226
Capalaba,-27.5221767,153.1887323
Carseldine,-27.3337,153.0101
Dalby,-27.1978852,151.2757342
Fairfield Waters,-19.3162,146.8208
Gladstone,-23.8774216,151.2254046
Gympie,-27.2879639,152.9853672
Hervey Bay,-25.29047,152.8396553
Indooroopilly,-27.5009457,152.9761358
Innisfail,-17.5248,146.0275
Kawana,-23.3397605,150.5091632
Keperra,-27.419585,152.9493933
Kingaroy,-26.5583945,151.8401563
Lawnton,-27.2879639,152.9853672
Loganholme,-27.6882,153.1895
Mackay North,-21.0963,149.1558
Manly West,-27.4686371,153.1530954
Maroochydore,-26.6648237,153.0845156
Maryborough,-25.5361768,152.6962789
Mermaid Waters,-28.0473762,153.408196
Morayfield,-27.113691,152.9501136
Mt Gravatt,-27.5307359,153.073577
Logan Rd Mt Gravatt,-27.5307359,153.073577
Mt Isa,-20.744,139.4909
Nerang,-28.0070393,153.3396421
Newstead,-27.4431289,153.0433852
Noosaville,-26.4109387,153.0423493
North Lakes,-27.2119988,152.9971094
Oxenford,-27.8875626,153.3121497
Oxley,-27.5674083,152.9810881
Paget Mackay,-21.1684852,149.1563452
Pimpama,-27.8220042,153.2942834
Plainland,-27.5628382,152.42608
Robina,-28.085024,153.38968
Rockhampton,-23.32951,150.5199442
Rocklea,-27.5552851,153.0116655
Rothwell,-27.218615,153.0644358
Smithfield,-16.8409112,145.6949002
Southport,-27.9608,153.3801
Springfield Central,-27.6760293,152.8981482
Stafford,-27.4102568,153.009118
Toowoomba North,-27.5523818,151.9536625
Toowoomba West,-27.5868,151.9154
Townsville,-19.2792816,146.7568836
Townsville North,-19.2272,146.7324
Underwood,-27.6189444,153.1124502
Victoria Point,-27.5852048,153.2834246
Virginia,-27.3725785,153.0610143
Warwick,-28.2134598,152.0374372
West Ipswich,-27.6163263,152.7499261
Yeppoon,-23.139249,150.7410522
Adelaide Airport,-34.93407,138.5355417
Berri,-34.2605618,140.6130242
Edwardstown,-34.9854834,138.5735858
Gawler,-34.5978,138.7478
Kent Town,-34.9193806,138.6197365
Marion,-35.0163,138.5442
Mile End,-34.9329944,138.5755286
Modbury,-34.8327,138.6942
Mt Barker,-35.0892,138.8754
Mt Gambier,-37.8058991,140.7932419
Munno Para West,-34.6592,138.653
Murray Bridge,-35.1288331,139.2583163
Noarlunga,-35.1810794,138.4938965
Parafield,-34.7926148,138.6442832
Port Augusta,-32.4800126,137.7508733
Port Lincoln,-34.7315592,135.8610607
Prospect,-34.8736265,138.5822543
Reynella,-35.0974314,138.5457129
Seaford,-35.1764,138.4842
Victor Harbor,-35.5362,138.6375
Windsor Gardens,-34.8640428,138.6481026
Woodville,-34.8748977,138.5295321
Burnie,-41.0638344,145.9143845
Devonport,-41.1928513,146.339467
Glenorchy,-42.8309325,147.2870368
Kings Meadows,-41.4807519,147.1541649
Kingston,-42.9852006,147.2927984
Mornington,-42.8619576,147.3922663
North Launceston,-41.4295,147.1308
Altona,-37.8456229,144.8437314
Bairnsdale,-37.8359947,147.6041332
Ballarat,-37.5918608,143.8081048
Bayswater,-37.8303746,145.2798282
Bendigo,-36.8086842,144.242824
Box Hill,-37.8365162,145.1334285
Broadmeadows,-37.6754621,144.9206631
Brunswick,-37.7676014,144.9615723
Caroline Springs,-37.7758522,144.8302214
Carrum Downs,-38.0955108,145.1740083
Chadstone,-37.8775077,145.0929395
Clyde North,-38.0923928,145.3338976
Coburg,-37.7323047,144.960096
Colac,-38.3415576,143.5914787
Collingwood,-37.8090658,144.9900523
Craigieburn,-37.5818838,144.9418138
Cranbourne,-38.0836155,145.279073
Croydon,-37.7897,145.2826
Dandenong,-38.0955108,145.1740083
Delacombe,-37.5918608,143.8081048
Doncaster,-37.7870068,145.1284088
East Pakenham,-38.0838,145.516
Echuca,-36.1416433,144.7573257
Eltham,-37.7178392,145.1407716
Epping,-37.6481775,145.004309
Epsom,-36.711303,144.3135415
Fairfield,-37.7726,145.026
Frankston,-38.1501382,145.1358755
Geelong North,-38.0975,144.3536
Hamilton,-37.745,142.025
Hastings,-38.2857622,145.185774
Hawthorn,-37.8225699,145.0314186
Hoppers Crossing,-37.8752601,144.7133085
Horsham,-36.7162883,142.2015706
Keysborough,-37.9899824,145.1470003
Leopold,-38.1845835,144.4523652
